,MODELS,VERSION,BRANDS,Fuel,MODEL_YEAR,RTO,Transmission,OWNER,KM_DRIVEN,Location,EMI,FINAL_PRICE,ACTUAL_PRICE,Discount_Amount,CAR_AGE
733,Dzire,VXI,Maruti,Petrol,2015,MP-09,Manual,1,51273,Mori,9071,464000,523000,59000,8
734,K10,LXI,Maruti,Petrol,2011,MP-19,Manual,1,30681,Mori,4106,210000,221000,11000,12
735,Swift,VDI,Maruti,Diesel,2019,MP-09,Manual,3,68447,Mori,11476,587000,679000,92000,4
736,PRESSO,VXI,Maruti,Petrol,2019,MP-09,Manual,1,65546,Mori,7175,367000,451000,84000,4
737,Baleno,DELTA PETROL 1.2,Maruti,Petrol,2016,MP-09,Manual,1,35748,Mori,9228,472000,559000,87000,7
738,Celerio,VXI,Maruti,Petrol,2016,MP-04,Manual,1,123998,Mori,6061,310000,347000,37000,7
739,Brezza,LDI (O),Maruti,Diesel,2017,MP-09,Manual,1,99717,Mori,11926,610000,690000,80000,6
740,Swift,VXI,Maruti,Petrol,2018,MP-09,Manual,1,47004,Mori,10049,514000,613000,99000,5
741,Ciaz,ZXI,Maruti,Petrol,2014,MP-09,Manual,1,118159,Mori,8778,449000,516000,67000,9
742,Dzire,VXI (O),Maruti,Petrol,2016,MP-04,Manual,1,49004,Mori,10088,516000,591000,75000,7
743,Swift,VXI AMTAutomatic,Maruti,Petrol,2018,MP-04,Automatic,1,40098,Mori,10088,516000,619000,103000,5
744,Swift,LXI,Maruti,Petrol,2019,MP-04,Manual,1,30011,Mori,10733,549000,549000,0,4
745,Celerio,VXI AMTAutomatic,Maruti,Petrol,2014,MP-04,Automatic,1,25719,Mori,7390,378000,403000,25000,9
746,Baleno,ZETA PETROL 1.2,Maruti,CNG,2021,MP-09,Manual,1,35261,Mori,14369,735000,790000,55000,2
747,Swift,VXI O,Maruti,Petrol,2016,MP-04,Manual,1,59481,Mori,8934,457000,526000,69000,7
748,Alto,VXI,Maruti,Petrol,2019,MP-04,Manual,1,98233,Mori,6530,334000,361000,27000,4
749,IGNIS,SIGMA 1.2,Maruti,Petrol,2022,MP-04,Manual,1,4472,Mori,9912,507000,568000,61000,1
751,Verna,FLUIDIC 1.6 VTVT SX,Hyundai,Petrol,2012,MP-04,Manual,1,70228,Mori,7742,396000,396000,0,11
752,i20,MAGNA EXECUTIVE 1.2,Hyundai,Petrol,2018,MP-04,Manual,2,56838,Mori,9365,479000,554000,75000,5
753,Verna,1.4 EX PETROL,Hyundai,CNG,2017,MP-09,Manual,1,40220,Mori,13568,694000,768000,74000,6
754,Verna,1.4 VTVT,Hyundai,Petrol,2016,MP-04,Manual,2,78213,Mori,8446,432000,470000,38000,7
755,Eon,ERA +,Hyundai,Petrol,2012,MP-04,Manual,1,50372,Mori,3793,194000,225000,31000,11
756,i20,MAGNA 1.2,Hyundai,Petrol,2017,MP-16,Manual,3,65023,Mori,8602,440000,522000,82000,6
757,Eon,ERA +,Hyundai,Petrol,2018,MP-05,Manual,1,57485,Mori,5357,274000,339000,65000,5
758,Xing,GL PLUS,Hyundai,Petrol,2011,MP-09,Manual,2,73284,Mori,3656,187000,222000,35000,12
759,i20,MAGNA 1.4 CRDI,Hyundai,Diesel,2015,MP-13,Manual,2,2,Mori,8719,446000,476000,30000,8
760,Xcent,E+,Hyundai,Petrol,2018,MP-09,Manual,1,41716,Mori,9580,490000,570000,80000,5
